experiment,calibrator,position,operating_point,threshold,auc,pr_auc,brier,log_loss,ece_fixed,ece_adaptive,calibration_slope,calibration_intercept,sensitivity,specificity,tn,fp,fn,tp
stretch_nhe,platt,pre_ensemble,A_raw_oof_threshold,0.8309692740440369,0.966152162014231,0.9511533700509771,0.18247148444991595,0.8144288017176968,0.22355858901959696,0.22356041499797616,0.6758695016220126,-3.4148674594833572,0.9950738916256158,0.7111111111111111,160,65,1,202
stretch_nhe,platt,pre_ensemble,B_calibrated_oof_threshold,0.9180183922204868,0.966152162014231,0.9511533700509771,0.18247148444991595,0.8144288017176968,0.22355858901959696,0.22356041499797616,0.6758695016220126,-3.4148674594833572,0.9901477832512315,0.76,171,54,2,201
stretch_nhe,platt,pre_ensemble,C_calibrated_half,0.5,0.966152162014231,0.9511533700509771,0.18247148444991595,0.8144288017176968,0.22355858901959696,0.22356041499797616,0.6758695016220126,-3.4148674594833572,0.9950738916256158,0.5733333333333334,129,96,1,202
stretch_nhe,beta,post_ensemble,A_raw_oof_threshold,0.8309692740440369,0.9669184455391353,0.9470995699313709,0.18561653806992612,0.949149463750293,0.2298936643535991,0.22989427026646037,0.5062821316538715,-3.1889277009857167,0.9950738916256158,0.7155555555555555,161,64,1,202
stretch_nhe,beta,post_ensemble,B_calibrated_oof_threshold,0.9214795581443093,0.9669184455391353,0.9470995699313709,0.18561653806992612,0.949149463750293,0.2298936643535991,0.22989427026646037,0.5062821316538715,-3.1889277009857167,0.9901477832512315,0.76,171,54,2,201
stretch_nhe,beta,post_ensemble,C_calibrated_half,0.5,0.9669184455391353,0.9470995699313709,0.18561653806992612,0.949149463750293,0.2298936643535991,0.22989427026646037,0.5062821316538715,-3.1889277009857167,0.9950738916256158,0.5555555555555556,125,100,1,202
stretch_nhe,beta,pre_ensemble,A_raw_oof_threshold,0.8309692740440369,0.9656267104542966,0.945389520785558,0.17908669781828584,0.8848808804538467,0.21968210515884018,0.21968302843813373,0.567713852414395,-3.2445436764177877,0.9950738916256158,0.7111111111111111,160,65,1,202
stretch_nhe,beta,pre_ensemble,B_calibrated_oof_threshold,0.9214795581443093,0.9656267104542966,0.945389520785558,0.17908669781828584,0.8848808804538467,0.21968210515884018,0.21968302843813373,0.567713852414395,-3.2445436764177877,0.9901477832512315,0.7644444444444445,172,53,2,201
stretch_nhe,beta,pre_ensemble,C_calibrated_half,0.5,0.9656267104542966,0.945389520785558,0.17908669781828584,0.8848808804538467,0.21968210515884018,0.21968302843813373,0.567713852414395,-3.2445436764177877,0.9950738916256158,0.5955555555555555,134,91,1,202
stretch_nhe,isotonic,post_ensemble,A_raw_oof_threshold,0.8309692740440369,0.9023973727422003,0.8246051291938223,0.1836220386480167,1.8261133832820904,0.23197329959612983,0.2319733654839802,0.3373229003954814,-3.874341748701055,0.9950738916256158,0.6888888888888889,155,70,1,202
stretch_nhe,isotonic,post_ensemble,B_calibrated_oof_threshold,0.8648648648648649,0.9023973727422003,0.8246051291938223,0.1836220386480167,1.8261133832820904,0.23197329959612983,0.2319733654839802,0.3373229003954814,-3.874341748701055,0.9950738916256158,0.7377777777777778,166,59,1,202
