experiment,calibrator,split,position,threshold,auc,pr_auc,brier,log_loss,ece_fixed,ece_adaptive,calibration_slope,calibration_intercept,sensitivity,specificity,tn,fp,fn,tp
stretch_manh,intercept,oof_cross_fitted,n/a,0.7749335920894975,0.9977552694580705,0.9989070979160322,0.016505063759913573,0.05712082113555792,0.007240072746585604,0.0031307078362250405,0.9381125351588802,-0.10626802629843904,0.970204081632653,0.9803117309269893,1195,24,73,2377
stretch_manh,intercept,known_benchmark,post_ensemble,0.7749335920894975,0.9778653530377668,0.9647878799515699,0.16337096279776267,0.617921812676075,0.21194823231354287,0.21196798259963096,0.8016849905179002,-3.4399660477054583,0.9950738916256158,0.7466666666666667,168,57,1,202
stretch_manh,intercept,known_benchmark,pre_ensemble,0.7749335920894975,0.9776902025177887,0.9647228419172048,0.1390745039271395,0.5556487212114043,0.18699017497315185,0.1870107409555791,0.7516807962925388,-3.136372404896835,0.9950738916256158,0.8088888888888889,182,43,1,202
stretch_manh,platt,oof_cross_fitted,n/a,0.7667011374679984,0.997745559257337,0.9989020717305895,0.016517104594898354,0.057229717037642805,0.0066580065099568035,0.002778540169678385,0.9534042422347824,-0.11134079847003578,0.970204081632653,0.9794913863822805,1194,25,73,2377
stretch_manh,platt,known_benchmark,post_ensemble,0.7667011374679984,0.9778653530377668,0.9647878799515699,0.16245467966315746,0.6078431180880653,0.21183328944388286,0.21185780256090858,0.8202415618965343,-3.4392321605989564,0.9950738916256158,0.7422222222222222,167,58,1,202
stretch_manh,platt,known_benchmark,pre_ensemble,0.7667011374679984,0.9773617952928298,0.9643511939897804,0.14006487352426794,0.553796394020167,0.1876667667100427,0.18770463680085317,0.7908078723534646,-3.2334273440458015,0.9950738916256158,0.8044444444444444,181,44,1,202
stretch_manh,beta,oof_cross_fitted,n/a,0.775393194727952,0.9977535952855301,0.9989044529494582,0.016580062570101608,0.057296121847699284,0.006779842351575353,0.0028085853360772443,0.9531282417735791,-0.1071125387604967,0.970204081632653,0.9794913863822805,1194,25,73,2377
stretch_manh,beta,known_benchmark,post_ensemble,0.775393194727952,0.9778653530377668,0.9647878799515699,0.16407135943043208,0.6037746804122542,0.21284139031313548,0.21287837315719882,0.8627127022845412,-3.5303910931269535,0.9950738916256158,0.7466666666666667,168,57,1,202
stretch_manh,beta,known_benchmark,pre_ensemble,0.775393194727952,0.9777777777777777,0.964895451694838,0.13989308286316535,0.5552528807790442,0.18759945711518938,0.18763059624859216,0.778238984832659,-3.2025455279217234,0.9950738916256158,0.8088888888888889,182,43,1,202
stretch_manh,isotonic,oof_cross_fitted,n/a,0.7164179104477612,0.9969975389663659,0.9982531228590033,0.016929070701870753,0.06411023911550257,0.008421526957871728,0.004450264743331415,0.7943258367546597,-0.07181955066965959,0.9730612244897959,0.9745693191140279,1188,31,66,2384
stretch_manh,isotonic,known_benchmark,post_ensemble,0.7164179104477612,0.962824302134647,0.9291132266937344,0.16900343550793923,0.8704245569987523,0.21643120032182997,0.21643122649005414,0.3352465449456962,-2.405450827116381,0.9950738916256158,0.6177777777777778,139,86,1,202
stretch_manh,isotonic,known_benchmark,pre_ensemble,0.7164179104477612,0.9632731253420909,0.9317146064662285,0.14191907276001403,0.8133123263132538,0.18810013470413037,0.18810016087235465,0.33254701992358804,-2.1770686774256114,0.9950738916256158,0.76,171,54,1,202
