feature,family,normal_domain_smd,normal_domain_smd_ci_low,normal_domain_smd_ci_high,normal_domain_ks,normal_domain_ks_p,normal_domain_auc,normal_domain_wasserstein_standardised,normal_domain_n_a,normal_domain_n_b,pneumonia_domain_smd,pneumonia_domain_smd_ci_low,pneumonia_domain_smd_ci_high,pneumonia_domain_ks,pneumonia_domain_ks_p,pneumonia_domain_auc,pneumonia_domain_wasserstein_standardised,pneumonia_domain_n_a,pneumonia_domain_n_b,class_auc_development,class_auc_benchmark,differential_smd,differential_auc,normal_domain_ks_p_holm,normal_domain_ks_p_bh,pneumonia_domain_ks_p_bh,passes_gate
intensity_p25,photometry,0.16113232226576213,0.008308752311850342,0.32267757099654726,0.14348008385744235,0.0007041235009163561,0.5484276729559748,0.23689448746782638,1219,225,-0.1642377167105639,-0.2957362438007779,-0.03636145302697059,0.0949612948627727,0.06343000391405645,0.5431838745350357,0.1910211542642654,2450,203,0.5591945555908991,0.5295019157088123,-0.0031053944448017623,0.005243798420939139,0.017603087522908904,0.0016981802080923882,0.11024253661877172,False
intensity_std,photometry,-0.18721611794742773,-0.3286453864216828,-0.03427810502601493,0.10710418375717802,0.023504071633176846,0.541828456840762,0.2163970746282225,1219,225,0.15003404210336357,0.021987798811906784,0.28778934204708995,0.10903589021815623,0.021328001640037463,0.540024127877752,0.18870408257241053,2450,203,0.6497825249870252,0.586031746031746,0.03718207584406416,0.0018043289630099713,0.28204885959812215,0.03212223123200835,0.0582965378161024,False
log_area,geometry,0.10457478963230996,-0.050631755789074584,0.2653113283450012,0.11721812049949867,0.009819435864120377,0.5317673867468782,0.3130123395038228,1219,225,-0.012575563743288333,-0.12978309840615812,0.10659522448262711,0.08978184377199155,0.09121068568260425,0.5183613149693375,0.21660357243614614,2450,203,0.9031092732417003,0.9183032293377121,0.09199922588902162,0.013406071777540718,0.14729153796180566,0.014910995201071685,0.14383223511487594,False
intensity_mean,photometry,0.11231909484287134,-0.04339415220810769,0.26553558772203417,0.13549539695561025,0.0016602354676651199,0.5311129340989882,0.24657393705806763,1219,225,-0.1437978217701759,-0.2756800384626723,-0.010977132364444149,0.09010555946516538,0.08921664949776206,0.5381079722529406,0.17397201801092463,2450,203,0.5351331804255747,0.5336836343732896,-0.03147872692730455,-0.006995038153952415,0.03486494482096752,0.0032414121035366623,0.14383223511487594,False
margin_right_frac,geometry,0.03821634560540126,-0.10166224385098524,0.18181616248204246,0.11656913681524018,0.010411096564891387,0.5264406161699025,0.0887251513856927,1219,225,-0.3628280544510583,-0.44971097556782624,-0.2647077653470344,0.11446868402533428,0.013450903895243272,0.5577189102241882,0.28265145415207027,2450,203,0.7366519897540641,0.8443349753694581,-0.32461170884565704,-0.03127829405428573,0.14729153796180566,0.015244819970019531,0.04242208151576724,False
height,geometry,-0.019920829073743925,-0.1764941072520064,0.13331088866711327,0.1529195150852247,0.00023958596653094223,0.5258681979764834,0.3030483502184779,1219,225,-0.09585053531026919,-0.21901300647443048,0.03497543695511242,0.07929627023223082,0.17874165518011276,0.5167517844576255,0.18443066006382358,2450,203,0.9149984095360868,0.8967159277504105,-0.07592970623652526,0.009116413518857946,0.0062292351298044975,0.0006139390392355395,0.24428026207948741,False
margin_left_frac,geometry,0.16773508693155834,0.026039186889683333,0.30721591589664937,0.1256622003463677,0.004461432652685774,0.5248892534864643,0.1924483728453382,1219,225,-0.3949761146632527,-0.46603477500333435,-0.3034732014265406,0.1491344123856439,0.00041762186184228365,0.5738865989745652,0.3012010430158746,2450,203,0.7845915856088129,0.8792665571975917,-0.22724102773169438,-0.04899734548810086,0.08030578774834393,0.007621614115004863,0.004280624083883407,False
intensity_p75,photometry,0.06402007318808714,-0.08726632588370986,0.21691397568539872,0.11326223680612524,0.013946241125384859,0.5245210099352839,0.20976421481597132,1219,225,-0.03249163896733697,-0.16605515714449007,0.10842048713857709,0.058395496129486274,0.5244415816715418,0.5110455413692571,0.10091111888497081,2450,203,0.509080042189148,0.5274767378215655,0.03152843422075017,0.013475468566026882,0.18130113463000316,0.019717099522095837,0.6143458528152346,False
histogram_entropy,photometry,-0.0721434903450607,-0.2150771684411395,0.07132460261244836,0.07555920153130982,0.21564692499006555,0.5211047306535411,0.11158751851711374,1219,225,0.22276048449425856,0.08211248548480546,0.3681073240142028,0.12719211822660098,0.0041847466225387025,0.5662551523072283,0.21490066557793408,2450,203,0.6988106678274263,0.6125670498084291,-0.15061699414919785,-0.04515042165368721,1.0,0.24559788679424133,0.024510658789155256,False
intensity_p50,photometry,0.07537025535476714,-0.08146960035613203,0.230720760821153,0.10197429587093246,0.03550703377324488,0.5194421657095981,0.2416083275223299,1219,225,-0.09835734612855265,-0.22968171889157143,0.035323074527263326,0.10344827586206896,0.03347233428969956,0.5291776414999497,0.15095134582136377,2450,203,0.5691915420803267,0.5207881773399015,-0.02298709077378551,-0.009735475790351611,0.39057737150569366,0.04696091563558193,0.08072739446339307,False
