experiment,feature,family,spearman_rho,spearman_p,cliffs_delta_fp_vs_tn,median_shift_fp_vs_tn,n_fp,n_tn,spearman_p_bh
stretch_nhe,blockiness_norm256,quality,-0.011850511931369538,0.8596860617835407,-0.053297937512762905,0.0026725845685604543,59,166,0.8811782133281293
augment_manh,width,geometry,-0.5311484080464736,8.85477946173186e-18,-0.6003965392934392,-346.0,73,152,1.2101531931033542e-16
augment_manh,height,geometry,-0.5888793134923339,2.152423956198017e-22,-0.6481614996395098,-432.5,73,152,8.82493822041187e-21
augment_manh,log_area,geometry,-0.5732804326171684,4.675796340709675e-21,-0.6377072819033887,-0.5578447152836983,73,152,9.585382498454834e-20
augment_manh,aspect,geometry,0.5115715926946864,2.0927288949119378e-16,0.5493871665465033,0.23774507260364164,73,152,2.145047117284736e-15
augment_manh,fg_box_width_frac,geometry,0.2747755139518613,2.9227255281437475e-05,0.2552271088680605,0.05448390348358023,73,152,9.217826665684127e-05
augment_manh,fg_box_height_frac,geometry,0.09155424933476755,0.17114292589828423,0.006578947368421052,0.0,73,152,0.21927687380717667
augment_manh,fg_occupancy,geometry,0.2145402520755647,0.0012038539488774306,0.1829488103821197,0.02928322369600367,73,152,0.0027421117724430364
augment_manh,fg_box_occupancy,geometry,0.2777056027319861,2.380935326119547e-05,0.25739005046863733,0.05448390348358023,73,152,8.134862364241785e-05
augment_manh,margin_top_frac,geometry,-0.09155424933476755,0.17114292589828423,-0.006578947368421052,0.0,73,152,0.21927687380717667
augment_manh,margin_bottom_frac,geometry,-0.09155424933476755,0.17114292589828423,-0.006578947368421052,0.0,73,152,0.21927687380717667
augment_manh,margin_left_frac,geometry,-0.28360636255177374,1.5643985902184723e-05,-0.3062364816149964,-0.013751576646623801,73,152,5.830940199905215e-05
augment_manh,margin_right_frac,geometry,-0.26013147794174246,7.866585701423775e-05,-0.23738284066330212,-0.0337373447517404,73,152,0.00023037858125598198
augment_manh,background_frac,geometry,-0.2145402520755647,0.0012038539488774306,-0.1829488103821197,-0.029283223696003557,73,152,0.0027421117724430364
augment_manh,centre_border_contrast,geometry,0.12671466851805127,0.057723720541229116,0.19376351838500355,2.847038049623386,73,152,0.09466690168761575
augment_manh,corner_uniformity,geometry,0.20020922893448637,0.0025527505243000057,0.19610670511896178,5.576252546503483,73,152,0.005233138574815012
augment_manh,corner_mean,geometry,0.11303893438629076,0.0907287821816547,0.08147080028839221,4.33515845132246,73,152,0.13285285962313725
augment_manh,intensity_mean,photometry,0.11079177770321201,0.097372453367182,0.023612112472963187,-1.087868850463778,73,152,0.13766450303636077
augment_manh,intensity_std,photometry,-0.12330864059662903,0.06483703602767342,-0.14005046863734677,-1.269030852910909,73,152,0.10224301835133115
augment_manh,intensity_p1,photometry,-0.08983034609824045,0.17938008782909917,-0.10643475126171592,0.0,73,152,0.2228661697270626
augment_manh,intensity_p5,photometry,-0.04004029362179173,0.5501743880066577,-0.05209084354722421,0.0,73,152,0.5940934188421612
augment_manh,intensity_p25,photometry,0.13439637794208642,0.04402393928542322,0.058940158615717386,1.0,73,152,0.07847745698705878
augment_manh,intensity_p50,photometry,0.13468778176886567,0.043563197757726636,0.03839221341023791,-1.5,73,152,0.07847745698705878
augment_manh,intensity_p75,photometry,0.052042477160637896,0.43726748367180573,-0.0480353280461428,-3.0,73,152,0.5122276237298297
augment_manh,intensity_p95,photometry,-0.05008777911744282,0.4547006192317235,-0.1299567411679885,-1.0,73,152,0.5178534830139073
augment_manh,intensity_p99,photometry,-0.007662561433176232,0.9090000508490995,-0.07732516222062003,0.0,73,152,0.9090000508490995
augment_manh,dynamic_range,photometry,0.03766210195579735,0.5741266445667446,-0.009372746935832732,2.0,73,152,0.6035690365958084
augment_manh,iqr,photometry,-0.18041126998481263,0.00665972846086665,-0.15744412400865182,-4.0,73,152,0.013002326995025364
augment_manh,histogram_entropy,photometry,-0.1282601813422784,0.05471543160765904,-0.18583273251622207,-0.04062316100412655,73,152,0.09347219566308419
augment_manh,skewness,photometry,-0.2008961235230318,0.0024651684193885397,-0.12310742609949532,-0.05625499490453678,73,152,0.005233138574815012
augment_manh,kurtosis,photometry,0.22951181495565476,0.0005205797221953104,0.1755587599134823,0.14611557965717892,73,152,0.0013339855381254827
