experiment,calibrator,position,oracle_specificity,raw_locked_specificity,calibrated_specificity,threshold_recovery,remaining_oracle_gap,recovery_ratio,sensitivity,spec_ci_low,spec_ci_high,sens_ci_low,sens_ci_high,brier_ci_low,brier_ci_high
augment_manh,platt,pre_ensemble,0.7733333333333333,0.6755555555555556,0.6711111111111111,-0.004444444444444473,0.10222222222222221,-0.04545454545454576,0.9950738916256158,-0.022222222222222143,0.008888888888888946,0.0,0.0,0.022439305331695227,0.031183729513445627
augment_manh,beta,post_ensemble,0.7733333333333333,0.6755555555555556,0.6622222222222223,-0.013333333333333308,0.11111111111111105,-0.13636363636363616,0.9950738916256158,-0.03111111111111109,0.0,0.0,0.0,0.02683796064702364,0.036298933981185916
augment_manh,beta,pre_ensemble,0.7733333333333333,0.6755555555555556,0.6666666666666666,-0.008888888888888946,0.10666666666666669,-0.09090909090909152,0.9950738916256158,-0.026666666666666727,0.008888888888888835,0.0,0.0,0.021206818608626537,0.02968635625146952
augment_manh,isotonic,post_ensemble,0.7733333333333333,0.6755555555555556,0.6755555555555556,0.0,0.09777777777777774,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.027081707016040634,0.03772975202428856
augment_manh,isotonic,pre_ensemble,0.7733333333333333,0.6755555555555556,0.6666666666666666,-0.008888888888888946,0.10666666666666669,-0.09090909090909152,0.9950738916256158,-0.026666666666666727,0.008888888888888835,0.0,0.0,0.021482118002681534,0.030096234089478927
stretch_manh,raw,post_ensemble,0.8933333333333333,0.7688888888888888,0.7688888888888888,0.0,0.12444444444444447,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.0,0.0
stretch_manh,raw,pre_ensemble,0.8933333333333333,0.7688888888888888,0.7688888888888888,0.0,0.12444444444444447,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.0,0.0
stretch_manh,temperature,post_ensemble,0.8933333333333333,0.7688888888888888,0.7688888888888888,0.0,0.12444444444444447,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,-0.0019224323987460708,0.0005084149825133404
stretch_manh,temperature,pre_ensemble,0.8933333333333333,0.7688888888888888,0.7688888888888888,0.0,0.12444444444444447,0.0,0.9950738916256158,-0.013333333333333308,0.013333333333333308,0.0,0.0,-0.0007780778723405549,0.0007417244801355366
stretch_manh,intercept,post_ensemble,0.8933333333333333,0.7688888888888888,0.7466666666666667,-0.022222222222222143,0.1466666666666666,-0.1785714285714279,0.9950738916256158,-0.0444444444444444,-0.004444444444444473,0.0,0.0,0.06615033578344502,0.08964081464779006
stretch_manh,intercept,pre_ensemble,0.8933333333333333,0.7688888888888888,0.8088888888888889,0.040000000000000036,0.08444444444444443,0.3214285714285717,0.9950738916256158,0.01777777777777778,0.06666666666666665,0.0,0.0,0.044618796981740816,0.06194464474294437
stretch_manh,platt,post_ensemble,0.8933333333333333,0.7688888888888888,0.7422222222222222,-0.026666666666666616,0.15111111111111108,-0.21428571428571383,0.9950738916256158,-0.04888888888888898,-0.008888888888888835,0.0,0.0,0.06543436515628347,0.0884789733345177
stretch_manh,platt,pre_ensemble,0.8933333333333333,0.7688888888888888,0.8044444444444444,0.03555555555555556,0.0888888888888889,0.2857142857142857,0.9950738916256158,0.013333333333333308,0.06222222222222218,0.0,0.0,0.04555264019083529,0.0630085960590721
stretch_manh,beta,post_ensemble,0.8933333333333333,0.7688888888888888,0.7466666666666667,-0.022222222222222143,0.1466666666666666,-0.1785714285714279,0.9950738916256158,-0.0444444444444444,-0.004444444444444473,0.0,0.0,0.06680552573240531,0.09032672465991169
stretch_manh,beta,pre_ensemble,0.8933333333333333,0.7688888888888888,0.8088888888888889,0.040000000000000036,0.08444444444444443,0.3214285714285717,0.9950738916256158,0.01777777777777778,0.06666666666666665,0.0,0.0,0.04543296939324313,0.06279065571315712
stretch_manh,isotonic,post_ensemble,0.8933333333333333,0.7688888888888888,0.6177777777777778,-0.15111111111111108,0.27555555555555555,-1.2142857142857137,0.9950738916256158,-0.20000000000000007,-0.10666666666666669,0.0,0.0,0.07188743885862993,0.09527452428004042
stretch_manh,isotonic,pre_ensemble,0.8933333333333333,0.7688888888888888,0.76,-0.008888888888888835,0.1333333333333333,-0.07142857142857098,0.9950738916256158,-0.03555555555555556,0.01777777777777778,0.0,0.0,0.04687055930215539,0.06547316616503565
